Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyms,Category,Density,Matrix unit,"Energy, kilojoules (kJ)",Derivation of value,Source,"Energy, kilocalories (kcal)",Derivation of value,Source,"Fat, total (g)",Derivation of value,Source,"Fatty acids, saturated (g)",Derivation of value,Source,"Fatty acids, monounsaturated (g)",Derivation of value,Source,"Fatty acids, polyunsaturated (g)",Derivation of value,Source,Cholesterol (mg),Derivation of value,Source,"Carbohydrates, available (g)",Derivation of value,Source,Sugars (g),Derivation of value,Source,Starch (g),Derivation of value,Source,Dietary fibres (g),Derivation of value,Source,Protein (g),Derivation of value,Source,Salt (NaCl) (g),Derivation of value,Source,Alcohol (g),Derivation of value,Source,Wasser (g),Derivation of value,Source,"Vitamin A activity, RE (µg-RE)",Derivation of value,Source,"Vitamin A activity, RAE (µg-RE)",Derivation of value,Source,All-trans retinol equivalents (µg-RE),Derivation of value,Source,Beta- carotene activity (µg-BCE),Derivation of value,Source,Beta-carotene (µg),Derivation of value,Source,Vitamin B1 (thiamine) (mg),Derivation of value,Source,Vitamin B2 (riboflavin) (mg),Derivation of value,Source,Vitamin B6 (pyridoxine) (mg),Derivation of value,Source,Vitamin B12 (cobalamin) (µg),Derivation of value,Source,Niacin (mg),Derivation of value,Source,Folate (µg),Derivation of value,Source,Panthotenic acid (mg),Derivation of value,Source,Vitamin C (ascorbic acid) (mg),Derivation of value,Source,Vitamin D (calciferol) (µg),Derivation of value,Source,Vitamin E activity (mg-ATE),Derivation of value,Source,Potassium (K) (mg),Derivation of value,Source,Sodium (Na) (mg),Derivation of value,Source,Chloride (Cl) (mg),Derivation of value,Source,Calcium (Ca) (mg),Derivation of value,Source,Magnesium (Mg) (mg),Derivation of value,Source,Phosphorus (P) (mg),Derivation of value,Source,Iron (Fe) (mg),Derivation of value,Source,Iodide (I) (µg),Derivation of value,Source,Zinc (Zn) (mg),Derivation of value,Source,Selenium (Se) (µg),Derivation of value,Source,Record has changed
13304,,,"Lamb, leg, roast (without addition of fat and salt)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,965,Automated calculation,,231,Automated calculation,,12.2,Calculation on the basis of ingredients,,6.5,Calculation on the basis of ingredients,,5.6,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,97,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,n.d.,,,0,Calculation on the basis of ingredients,,30.1,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,57.6,Automated calculation,,14,Automated calculation,,13,Automated calculation,,13,Calculation on the basis of ingredients,,7,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.41,Calculation on the basis of ingredients,,3.77,Calculation on the basis of ingredients,,n.d.,,,7.2,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,7.2,Calculation on the basis of ingredients,,0.48,Calculation on the basis of ingredients,,390,Calculation on the basis of ingredients,,77,Calculation on the basis of ingredients,,110,Calculation on the basis of ingredients,,6.3,Calculation on the basis of ingredients,,25,Calculation on the basis of ingredients,,240,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,1.2,Calculation on the basis of ingredients,,5.4,Calculation on the basis of ingredients,,7,Calculation on the basis of ingredients,,Ja
19,4752,812060,"Lamb, ragout, raw (Switzerland)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,644,Automated calculation,,154,Automated calculation,,8.4,-,146,4.3,-,146,3.7,-,146,1,-,146,66,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,19.6,-,146,0.2,Automated calculation,,0,Estimation,51,69.9,-,146,0,Automated calculation,,0,Automated calculation,,0,-,104,0,Estimation,51,0,-,104,0.18,-,104,0.06,-,104,0.36,-,146,3.61,-,160,1.2,Estimation,,6,-,81,0.57,-,163,0,Estimation,51,6.1,-,143,0.5,-,163,310,-,146,60,-,146,75,-,8,4.6,-,146,18,-,146,170,-,146,1.3,-,146,0.7,-,88,4.3,-,146,n.d.,,,Nein
1673,,,"Lamb ragout with sauce, prepared",,Prepared dishes/Other savoury dishes,,per 100g edible portion,516,Automated calculation,,124,Automated calculation,,7,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,3.7,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,38,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,11.7,Calculation on the basis of ingredients,,0.8,Automated calculation,,0,Calculation on the basis of ingredients,,77.6,Automated calculation,,168,Automated calculation,,84,Automated calculation,,0,Calculation on the basis of ingredients,,1007,Calculation on the basis of ingredients,,724,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,1.24,Calculation on the basis of ingredients,,n.d.,,,5,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,0.98,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,310,Calculation on the basis of ingredients,,480,Calculation on the basis of ingredients,,10,Calculation on the basis of ingredients,,8.9,Calculation on the basis of ingredients,,85,Calculation on the basis of ingredients,,0.8,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,n.d.,,,Ja
5,4747,811057,"Lamb (sheep), cutlet, raw (Switzerland)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,747,Automated calculation,,179,Automated calculation,,10.9,-,146,5.2,-,146,4,-,146,0.9,-,146,72,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,20.2,-,146,0.2,Automated calculation,,0,Estimation,51,65.4,-,146,9,Automated calculation,,9,Automated calculation,,9,-,163,<5,-,51,<5,-,163,0.18,-,104,0.06,-,104,0.32,-,160,3.61,-,160,n.d.,,,6,-,81,0.57,-,163,0,Estimation,51,5.2,-,143,0.5,-,163,310,-,146,69,-,146,79,-,8,8.4,-,146,20,-,146,180,-,146,1.5,-,146,0.9,-,88,2.1,-,146,7,-,1406;1544,Nein
13273,,,"lamb (sheep), filet, pan fried medium"" (without addition of fat and salt)""",,"Meat and offal/Lamb, mutton",,per 100g edible portion,630,Automated calculation,,150,Automated calculation,,4.5,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,88,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,27.2,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,68.3,Automated calculation,,13,Automated calculation,,12,Automated calculation,,11,Calculation on the basis of ingredients,,7,Calculation on the basis of ingredients,,5,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.25,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,2.05,Calculation on the basis of ingredients,,6.08,Calculation on the basis of ingredients,,25.6,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,77,Calculation on the basis of ingredients,,110,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,31,Calculation on the basis of ingredients,,220,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,4.3,Calculation on the basis of ingredients,,5.5,Calculation on the basis of ingredients,,Ja
675,3901,1001237,"Lamb (sheep), filet, raw",,"Meat and offal/Lamb, mutton",,per 100g edible portion,473,Automated calculation,,112,Automated calculation,,3.4,-,9,1.3,-,9,1.5,-,9,0.2,-,9,66,-,9,0,-,9,0,-,9,0,Estimation,51,0,-,22,20.4,-,9,0.2,Automated calculation,,0,-,22,75.1,-,9,9,Automated calculation,,9,Automated calculation,,9,-,163,<5,-,51,<5,-,163,0.13,-,9,0.23,-,9,0.17,-,9,2.2,-,9,6.51,-,9,24,-,9,0.66,-,9,0,-,9,tr.,-,22,0.19,-,9,280,-,9,68,-,9,79,-,9,12,-,9,27,-,9,190,-,9,1.9,-,9,0.7,-,9,3.2,-,9,4.1,-,1544,Nein
17,4753,812058,"Lamb (sheep), filet, raw (Australia, New Zealand)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,493,Automated calculation,,117,Automated calculation,,3.3,-,146,1.9,-,146,1.9,-,146,0.4,-,146,72,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,21.8,-,146,0.1,Automated calculation,,0,Estimation,51,73,-,146,9,Automated calculation,,9,Automated calculation,,9,-,163,<5,-,51,<5,-,163,0.18,-,104,0.06,-,104,0.51,-,146,3.61,-,160,n.d.,,,6,-,81,0.92,-,163,0,Estimation,51,2.9,-,143,0.5,-,163,330,-,1406,44,-,146,79,-,8,3.8,-,146,23,-,146,200,-,146,1.9,-,146,0.8,-,88,2.3,-,146,8.7,-,1406;1544,Nein
4,4743,811056,"Lamb (sheep), leg, raw (Switzerland, New Zealand)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,647,Automated calculation,,155,Automated calculation,,8.2,-,146,4.4,-,146,3.7,-,146,0.9,-,146,65,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,20.2,-,146,0.2,Automated calculation,,0,Estimation,51,69.1,-,146,9,Automated calculation,,9,Automated calculation,,9,-,163,<5,-,51,<5,-,163,0.18,-,104,0.06,-,104,0.46,-,146,3.61,-,160,n.d.,,,6,-,81,0.92,-,163,0,Estimation,51,6.1,-,143,0.4,-,163,330,-,146,61,-,146,76,-,8,4.7,-,146,20,-,146,190,-,146,1.6,-,146,0.8,-,88,3.6,-,146,4.7,-,1544,Nein
18,4754,812059,"Lamb (sheep), racks, raw (Australia, New Zealand)",,"Meat and offal/Lamb, mutton",,per 100g edible portion,652,Automated calculation,,156,Automated calculation,,8.3,-,146,4.3,-,146,3.5,-,146,0.9,-,146,68,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,20.3,-,146,0.2,Automated calculation,,0,Estimation,51,67.6,-,146,9,Automated calculation,,9,Automated calculation,,9,-,163,<5,-,51,<5,-,163,0.18,-,104,0.06,-,104,0.61,-,146,3.61,-,160,1.2,-,160,6,-,81,0.57,-,163,0,Estimation,51,2.9,-,143,0.5,-,163,300,-,146,63,-,146,79,-,8,7.5,-,146,24,-,146,180,-,146,1.8,-,146,0.9,-,88,2.2,-,146,n.d.,,,Nein
372,3832,1000835,"Lamb's lettuce, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,96,Automated calculation,,23,Automated calculation,,0.4,-,43,0.1,-,9,0,-,22,0.2,-,9,0,-,43,2,-,43,2,-,43,0,-,43,1.7,-,43,2,-,43,0,Automated calculation,,0,-,43,92.8,-,43,660,Automated calculation,,330,Automated calculation,,0,Estimation,51,3958,-,51;1662,3958,-,8;1669,0.09,-,43;1669,0.09,-,43,0.15,-,43;1669,0,-,43,0.4,-,43,81.4,-,43;1669,0.12,-,43;1669,24.3,-,43;1669,0,-,43,0.3,-,43,460,-,43,4,-,43,70,-,9,38,-,43,13,-,43,53,-,43,2.1,-,43,35,-,9,0.5,-,9,n.d.,,,Nein
1090,3693,,Landjäger sausage,,Sausages and cold meats/Raw sausage products,,per 100g edible portion,2030,Automated calculation,,491,Automated calculation,,42.7,-,1032,16.9,-,1032,19.1,-,1032,3.5,-,1032,86,-,1032,tr.,-,1032,tr.,-,1032,0,Estimation,1003,0,Estimation,1003,26.6,-,1032,3.5,Automated calculation,,0,Estimation,1003,26.6,-,1032,0,Automated calculation,,0,Automated calculation,,tr.,-,1003,n.d.,,,n.d.,,,0.23,-,1032,0.13,-,1032,0.22,-,1032,2,-,1032,5.5,-,1032,n.d.,,,0.7,-,1032,tr.,-,1032,1.6,-,1032,tr.,-,1032,320,-,1032,1410,-,1032,2260,-,1032,21,-,1032,21,-,1032,180,-,1032,1.9,-,1032,n.d.,,,3.9,-,1032,11,-,1032,Nein
1184,4679,,"Latte macchiato, no sugar added",,Milk and dairy products/Milk and yoghurt beverages;Non-alcoholic beverages/Coffee,0.88,per 100ml food volume,198,Automated calculation,,47,Automated calculation,,2.8,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,11,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,91.6,Automated calculation,,32,Automated calculation,,31,Automated calculation,,30,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,0.01,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,0.25,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,110,Calculation on the basis of ingredients,,27,Calculation on the basis of ingredients,,66,Calculation on the basis of ingredients,,84,Calculation on the basis of ingredients,,7.6,Calculation on the basis of ingredients,,63,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,6.6,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Ja
1127,4080,,"Leafy salad (average), raw ",,Vegetables/Fresh vegetables,,per 100g edible portion,76,Automated calculation,,18,Automated calculation,,0.3,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,94.9,Automated calculation,,239,Automated calculation,,120,Automated calculation,,0,Calculation on the basis of ingredients,,1434,Calculation on the basis of ingredients,,1421,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.37,Calculation on the basis of ingredients,,68.1,Calculation on the basis of ingredients,,0.17,Calculation on the basis of ingredients,,14.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,270,Calculation on the basis of ingredients,,18,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,5.7,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Ja
1164,3652,,"Leafy vegetables (average excluding salads), boiled (without addition of salt and fat)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,97,Automated calculation,,23,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,93.3,Automated calculation,,92,Automated calculation,,46,Automated calculation,,0,Calculation on the basis of ingredients,,552,Calculation on the basis of ingredients,,492,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.25,Calculation on the basis of ingredients,,30.3,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,13.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.03,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,16,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,11,Calculation on the basis of ingredients,,33,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1165,3653,,"Leafy vegetables (average excluding salads), steamed (without addition of salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,96,Automated calculation,,23,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,93.4,Automated calculation,,91,Automated calculation,,46,Automated calculation,,0,Calculation on the basis of ingredients,,547,Calculation on the basis of ingredients,,487,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,18.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.02,Calculation on the basis of ingredients,,210,Calculation on the basis of ingredients,,18,Calculation on the basis of ingredients,,38,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,16,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1166,3648,,"Leafy vegetables (average excluding salads), stewed (without addition of salt and fat)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,101,Automated calculation,,24,Automated calculation,,0.3,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,93,Automated calculation,,96,Automated calculation,,48,Automated calculation,,0,Calculation on the basis of ingredients,,576,Calculation on the basis of ingredients,,513,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.37,Calculation on the basis of ingredients,,44.3,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,20.8,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.08,Calculation on the basis of ingredients,,260,Calculation on the basis of ingredients,,22,Calculation on the basis of ingredients,,42,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,38,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Ja
880,3660,1001552,Lebkuchen,,Sweets/Other sweet pastries,,per 100g edible portion,1700,Automated calculation,,404,Automated calculation,,13.8,-,9,1.4,-,9,7.9,-,9,3.6,-,9,27,-,9,61.6,-,9,41.2,-,9,19.6,-,9,4.2,-,9,6.5,-,9,0.3,Automated calculation,,0,-,9,12.1,-,9,142,Automated calculation,,94,Automated calculation,,46,-,8,578,Estimation,51,578,-,8,0.07,-,9,0.11,-,9,0.12,-,9,0,-,9,0.91,-,9,11,-,9,0.31,-,9,2.7,-,9,0,-,9,6.68,-,9,310,-,9,120,-,9,31,-,9,69,-,9,45,-,9,200,-,9,1.9,-,9,2.2,-,9,0.9,-,9,n.d.,,,Nein
993,3622,,"Lebkuchen, chocolate covered",,Sweets/Other sweet pastries,,per 100g edible portion,1860,Automated calculation,,444,Automated calculation,,18.9,Calculation on the basis of ingredients,,6.8,Calculation on the basis of ingredients,,8.7,Calculation on the basis of ingredients,,2.9,Calculation on the basis of ingredients,,22,Calculation on the basis of ingredients,,60.2,Calculation on the basis of ingredients,,45.4,Calculation on the basis of ingredients,,13.9,Calculation on the basis of ingredients,,3.5,Calculation on the basis of ingredients,,6.5,Calculation on the basis of ingredients,,0.4,Automated calculation,,0,Calculation on the basis of ingredients,,10.9,Automated calculation,,119,Automated calculation,,85,Automated calculation,,50,Calculation on the basis of ingredients,,415,Calculation on the basis of ingredients,,415,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.75,Calculation on the basis of ingredients,,9.8,Calculation on the basis of ingredients,,0.28,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,4.75,Calculation on the basis of ingredients,,410,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,61,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,210,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,6.6,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,n.d.,,,Nein
358,3827,1000821,"Leek, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,124,Automated calculation,,30,Automated calculation,,0.3,-,43,tr.,-,43,tr.,-,43,0.2,-,43,0,-,43,3.7,-,43,3.5,-,43,0.2,-,43,2.8,-,43,1.6,-,43,0,Automated calculation,,0,-,43,90.5,-,43,15,Automated calculation,,7,Automated calculation,,0,Estimation,51,87,Estimation,51,136,-,89;1669,0.12,-,43;1669,0.04,-,43,0.3,-,43;1669,0,-,43,0.4,-,43,96,-,43,0.14,-,43;1669,19.2,-,43;1669,0,-,43,0.73,-,43,260,-,43,12,-,43,24,-,36,31,-,43,11,-,43,35,-,43,0.9,-,43,8.6,-,36,0.3,-,36,n.d.,,,Nein
1015,4247,,"Leek, stewed (without addition of fat and salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,139,Automated calculation,,33,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,4.2,Calculation on the basis of ingredients,,3.9,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,90.6,Automated calculation,,16,Automated calculation,,8,Automated calculation,,0,Calculation on the basis of ingredients,,98,Calculation on the basis of ingredients,,138,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.43,Calculation on the basis of ingredients,,53.9,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,18.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.82,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,27,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,9.7,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Ja
1134,3666,,"Legumes/Pulses (average), cooked (without addition of fat and salt)",,"Cereal products, pulses and potatoes/Pulses",,per 100g edible portion,550,Automated calculation,,131,Automated calculation,,1.9,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,15.4,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,13.3,Calculation on the basis of ingredients,,6.5,Calculation on the basis of ingredients,,9.8,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,66.7,Automated calculation,,8,Automated calculation,,4,Automated calculation,,0,Calculation on the basis of ingredients,,47,Calculation on the basis of ingredients,,47,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.66,Calculation on the basis of ingredients,,46.8,Calculation on the basis of ingredients,,0.24,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.25,Calculation on the basis of ingredients,,350,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,24,Calculation on the basis of ingredients,,36,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,150,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,n.d.,,,Ja
1133,4097,,"Legumes/Pulses, (average) dried",,"Cereal products, pulses and potatoes/Pulses",,per 100g edible portion,1410,Automated calculation,,335,Automated calculation,,4.9,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,39.3,Calculation on the basis of ingredients,,4.4,Calculation on the basis of ingredients,,34.1,Calculation on the basis of ingredients,,16.5,Calculation on the basis of ingredients,,25.1,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,14.7,Automated calculation,,20,Automated calculation,,10,Automated calculation,,0,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,119,Calculation on the basis of ingredients,,0.65,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.37,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.58,Calculation on the basis of ingredients,,239.7,Calculation on the basis of ingredients,,1.14,Calculation on the basis of ingredients,,9.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.71,Calculation on the basis of ingredients,,1200,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,60,Calculation on the basis of ingredients,,96,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,420,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,n.d.,,,Ja
